geoName,geoCode,keyword,interest,geo_scope,fetched_at
California,US-CA,Bitcoin,86,US,2026-05-17T16:58:21.299826
Colorado,US-CO,Bitcoin,82,US,2026-05-17T16:58:21.299826
Connecticut,US-CT,Bitcoin,77,US,2026-05-17T16:58:21.299826
Delaware,US-DE,Bitcoin,61,US,2026-05-17T16:58:21.299826
District of Columbia,US-DC,Bitcoin,73,US,2026-05-17T16:58:21.299826
Florida,US-FL,Bitcoin,84,US,2026-05-17T16:58:21.299826
Georgia,US-GA,Bitcoin,60,US,2026-05-17T16:58:21.299826
Hawaii,US-HI,Bitcoin,99,US,2026-05-17T16:58:21.299826
Idaho,US-ID,Bitcoin,76,US,2026-05-17T16:58:21.299826
Illinois,US-IL,Bitcoin,80,US,2026-05-17T16:58:21.299826
Indiana,US-IN,Bitcoin,53,US,2026-05-17T16:58:21.299826
Iowa,US-IA,Bitcoin,59,US,2026-05-17T16:58:21.299826
Kansas,US-KS,Bitcoin,67,US,2026-05-17T16:58:21.299826
Kentucky,US-KY,Bitcoin,46,US,2026-05-17T16:58:21.299826
Louisiana,US-LA,Bitcoin,50,US,2026-05-17T16:58:21.299826
Maine,US-ME,Bitcoin,64,US,2026-05-17T16:58:21.299826
Maryland,US-MD,Bitcoin,75,US,2026-05-17T16:58:21.299826
Massachusetts,US-MA,Bitcoin,82,US,2026-05-17T16:58:21.299826
Michigan,US-MI,Bitcoin,63,US,2026-05-17T16:58:21.299826
Minnesota,US-MN,Bitcoin,70,US,2026-05-17T16:58:21.299826
Mississippi,US-MS,Bitcoin,43,US,2026-05-17T16:58:21.299826
Missouri,US-MO,Bitcoin,56,US,2026-05-17T16:58:21.299826
Montana,US-MT,Bitcoin,77,US,2026-05-17T16:58:21.299826
Nebraska,US-NE,Bitcoin,61,US,2026-05-17T16:58:21.299826
Nevada,US-NV,Bitcoin,100,US,2026-05-17T16:58:21.299826
New Hampshire,US-NH,Bitcoin,78,US,2026-05-17T16:58:21.299826
New Jersey,US-NJ,Bitcoin,87,US,2026-05-17T16:58:21.299826
New Mexico,US-NM,Bitcoin,58,US,2026-05-17T16:58:21.299826
New York,US-NY,Bitcoin,86,US,2026-05-17T16:58:21.299826
North Carolina,US-NC,Bitcoin,56,US,2026-05-17T16:58:21.299826
North Dakota,US-ND,Bitcoin,71,US,2026-05-17T16:58:21.299826
Ohio,US-OH,Bitcoin,57,US,2026-05-17T16:58:21.299826
Oklahoma,US-OK,Bitcoin,51,US,2026-05-17T16:58:21.299826
Oregon,US-OR,Bitcoin,73,US,2026-05-17T16:58:21.299826
Pennsylvania,US-PA,Bitcoin,67,US,2026-05-17T16:58:21.299826
Rhode Island,US-RI,Bitcoin,71,US,2026-05-17T16:58:21.299826
South Carolina,US-SC,Bitcoin,58,US,2026-05-17T16:58:21.299826
South Dakota,US-SD,Bitcoin,65,US,2026-05-17T16:58:21.299826
Tennessee,US-TN,Bitcoin,55,US,2026-05-17T16:58:21.299826
Texas,US-TX,Bitcoin,60,US,2026-05-17T16:58:21.299826
Utah,US-UT,Bitcoin,77,US,2026-05-17T16:58:21.299826
Vermont,US-VT,Bitcoin,62,US,2026-05-17T16:58:21.299826
Virginia,US-VA,Bitcoin,67,US,2026-05-17T16:58:21.299826
Washington,US-WA,Bitcoin,83,US,2026-05-17T16:58:21.299826
West Virginia,US-WV,Bitcoin,44,US,2026-05-17T16:58:21.299826
Wisconsin,US-WI,Bitcoin,58,US,2026-05-17T16:58:21.299826
Wyoming,US-WY,Bitcoin,94,US,2026-05-17T16:58:21.299826
Alabama,US-AL,Tesla,30,US,2026-05-17T16:58:23.536490
Alaska,US-AK,Tesla,33,US,2026-05-17T16:58:23.536490
Arizona,US-AZ,Tesla,58,US,2026-05-17T16:58:23.536490
Arkansas,US-AR,Tesla,29,US,2026-05-17T16:58:23.536490
California,US-CA,Tesla,100,US,2026-05-17T16:58:23.536490
Colorado,US-CO,Tesla,52,US,2026-05-17T16:58:23.536490
Connecticut,US-CT,Tesla,47,US,2026-05-17T16:58:23.536490
Delaware,US-DE,Tesla,49,US,2026-05-17T16:58:23.536490
District of Columbia,US-DC,Tesla,46,US,2026-05-17T16:58:23.536490
Florida,US-FL,Tesla,62,US,2026-05-17T16:58:23.536490
Georgia,US-GA,Tesla,48,US,2026-05-17T16:58:23.536490
Hawaii,US-HI,Tesla,66,US,2026-05-17T16:58:23.536490
Idaho,US-ID,Tesla,38,US,2026-05-17T16:58:23.536490
Illinois,US-IL,Tesla,48,US,2026-05-17T16:58:23.536490
Indiana,US-IN,Tesla,33,US,2026-05-17T16:58:23.536490
Iowa,US-IA,Tesla,31,US,2026-05-17T16:58:23.536490
Kansas,US-KS,Tesla,35,US,2026-05-17T16:58:23.536490
Kentucky,US-KY,Tesla,33,US,2026-05-17T16:58:23.536490
Louisiana,US-LA,Tesla,27,US,2026-05-17T16:58:23.536490
Maine,US-ME,Tesla,31,US,2026-05-17T16:58:23.536490
Maryland,US-MD,Tesla,54,US,2026-05-17T16:58:23.536490
Massachusetts,US-MA,Tesla,48,US,2026-05-17T16:58:23.536490
Michigan,US-MI,Tesla,37,US,2026-05-17T16:58:23.536490
Minnesota,US-MN,Tesla,41,US,2026-05-17T16:58:23.536490
Mississippi,US-MS,Tesla,25,US,2026-05-17T16:58:23.536490
Missouri,US-MO,Tesla,34,US,2026-05-17T16:58:23.536490
Montana,US-MT,Tesla,29,US,2026-05-17T16:58:23.536490
Nebraska,US-NE,Tesla,33,US,2026-05-17T16:58:23.536490
Nevada,US-NV,Tesla,88,US,2026-05-17T16:58:23.536490
New Hampshire,US-NH,Tesla,40,US,2026-05-17T16:58:23.536490
New Jersey,US-NJ,Tesla,64,US,2026-05-17T16:58:23.536490
New Mexico,US-NM,Tesla,38,US,2026-05-17T16:58:23.536490
New York,US-NY,Tesla,43,US,2026-05-17T16:58:23.536490
North Carolina,US-NC,Tesla,43,US,2026-05-17T16:58:23.536490
North Dakota,US-ND,Tesla,24,US,2026-05-17T16:58:23.536490
Ohio,US-OH,Tesla,34,US,2026-05-17T16:58:23.536490
Oklahoma,US-OK,Tesla,31,US,2026-05-17T16:58:23.536490
Oregon,US-OR,Tesla,51,US,2026-05-17T16:58:23.536490
Pennsylvania,US-PA,Tesla,40,US,2026-05-17T16:58:23.536490
Rhode Island,US-RI,Tesla,41,US,2026-05-17T16:58:23.536490
South Carolina,US-SC,Tesla,35,US,2026-05-17T16:58:23.536490
South Dakota,US-SD,Tesla,27,US,2026-05-17T16:58:23.536490
Tennessee,US-TN,Tesla,34,US,2026-05-17T16:58:23.536490
Texas,US-TX,Tesla,52,US,2026-05-17T16:58:23.536490
Utah,US-UT,Tesla,56,US,2026-05-17T16:58:23.536490
Vermont,US-VT,Tesla,39,US,2026-05-17T16:58:23.536490
Virginia,US-VA,Tesla,50,US,2026-05-17T16:58:23.536490
Washington,US-WA,Tesla,68,US,2026-05-17T16:58:23.536490
West Virginia,US-WV,Tesla,27,US,2026-05-17T16:58:23.536490
Wisconsin,US-WI,Tesla,33,US,2026-05-17T16:58:23.536490
Wyoming,US-WY,Tesla,41,US,2026-05-17T16:58:23.536490
Alabama,US-AL,Netflix,77,US,2026-05-17T16:58:25.788229
Alaska,US-AK,Netflix,84,US,2026-05-17T16:58:25.788229
Arizona,US-AZ,Netflix,77,US,2026-05-17T16:58:25.788229
Arkansas,US-AR,Netflix,82,US,2026-05-17T16:58:25.788229
California,US-CA,Netflix,90,US,2026-05-17T16:58:25.788229
Colorado,US-CO,Netflix,87,US,2026-05-17T16:58:25.788229
Connecticut,US-CT,Netflix,90,US,2026-05-17T16:58:25.788229
Delaware,US-DE,Netflix,83,US,2026-05-17T16:58:25.788229
District of Columbia,US-DC,Netflix,89,US,2026-05-17T16:58:25.788229
Florida,US-FL,Netflix,83,US,2026-05-17T16:58:25.788229
Georgia,US-GA,Netflix,81,US,2026-05-17T16:58:25.788229
Hawaii,US-HI,Netflix,88,US,2026-05-17T16:58:25.788229
Idaho,US-ID,Netflix,77,US,2026-05-17T16:58:25.788229
Illinois,US-IL,Netflix,80,US,2026-05-17T16:58:25.788229
Indiana,US-IN,Netflix,71,US,2026-05-17T16:58:25.788229
Iowa,US-IA,Netflix,78,US,2026-05-17T16:58:25.788229
Kansas,US-KS,Netflix,83,US,2026-05-17T16:58:25.788229
Kentucky,US-KY,Netflix,78,US,2026-05-17T16:58:25.788229
Louisiana,US-LA,Netflix,85,US,2026-05-17T16:58:25.788229
Maine,US-ME,Netflix,85,US,2026-05-17T16:58:25.788229
Maryland,US-MD,Netflix,83,US,2026-05-17T16:58:25.788229
Massachusetts,US-MA,Netflix,93,US,2026-05-17T16:58:25.788229
Michigan,US-MI,Netflix,81,US,2026-05-17T16:58:25.788229
Minnesota,US-MN,Netflix,83,US,2026-05-17T16:58:25.788229
Mississippi,US-MS,Netflix,77,US,2026-05-17T16:58:25.788229
Missouri,US-MO,Netflix,78,US,2026-05-17T16:58:25.788229
Montana,US-MT,Netflix,82,US,2026-05-17T16:58:25.788229
Nebraska,US-NE,Netflix,71,US,2026-05-17T16:58:25.788229
