query,value,keyword,type,fetched_at
metaverse crypto,3000,crypto,rising,2026-05-15T19:59:08.932945
pepe crypto,2050,crypto,rising,2026-05-15T19:59:08.932945
crypto bubbles,1900,crypto,rising,2026-05-15T19:59:08.932945
gala crypto,1550,crypto,rising,2026-05-15T19:59:08.932945
solana price,1400,crypto,rising,2026-05-15T19:59:08.932945
solana crypto price,1300,crypto,rising,2026-05-15T19:59:08.932945
trump crypto coin,1100,crypto,rising,2026-05-15T19:59:08.932945
ftx crypto,1100,crypto,rising,2026-05-15T19:59:08.932945
ftx,1050,crypto,rising,2026-05-15T19:59:08.932945
lcx crypto,950,crypto,rising,2026-05-15T19:59:08.932945
luna crypto,900,crypto,rising,2026-05-15T19:59:08.932945
solana crypto,850,crypto,rising,2026-05-15T19:59:08.932945
solana,800,crypto,rising,2026-05-15T19:59:08.932945
avax crypto,700,crypto,rising,2026-05-15T19:59:08.932945
avalanche crypto,700,crypto,rising,2026-05-15T19:59:08.932945
sol crypto,650,crypto,rising,2026-05-15T19:59:08.932945
trump crypto,550,crypto,rising,2026-05-15T19:59:08.932945
