tmdb_id,title,original_title,popularity,vote_average,vote_count,release_date,genre_ids,overview,poster_path,media_type,fetched_at,youtube_key,trailer_name,trailer_type,trailer_url
1170608,Dune: Part Three,Dune: Part Three,18.8602,0.0,0,2026-12-16,"[878, 12]",Emperor Paul Atreides faces the fallout from his ascent to power as political plots and a galaxy-wide holy war endanger the future only he can see.,/d43fvHQsIMa4kpyhKXw0haEJIvI.jpg,movie,2026-08-13T07:26:25.638117,NdvqHc56lE0,Official Trailer,Trailer,https://www.youtube.com/watch?v=NdvqHc56lE0
1318413,Pressure,Pressure,18.2351,7.78,279,2026-05-25,"[53, 36, 10752]","In the tense 72 hours before D-Day, and the fate of the free world hanging in the balance, General Dwight D. Eisenhower and Captain James Stagg face an impossible choice—launch the largest and most dangerous seaborne invasion in history or risk losing the war altogether.",/gFjEggtrejCN79r6SXRjM269OtG.jpg,movie,2026-08-13T07:26:25.638120,urSij5ZVhBc,Official US Trailer,Trailer,https://www.youtube.com/watch?v=urSij5ZVhBc
1340206,Tuner,Tuner,18.0618,7.2,233,2026-05-21,"[80, 18, 53]","A gifted piano tuner's meticulous skills for tuning pianos lead him to discover an unexpected aptitude for cracking safes, turning his life upside down.",/5OvA3i9wZs5jHu0DCrfmXlzAM67.jpg,movie,2026-08-13T07:26:25.638124,HYxzyLVJORA,Tuner - OFFICIAL TRAILER,Trailer,https://www.youtube.com/watch?v=HYxzyLVJORA
949838,72 HOURS,72 HOURS,57.5176,6.84,326,2026-07-20,"[35, 80]","To save his career, a 40-year-old ad exec joins a crew of twentysomethings for a wild Miami bachelor party after they mistakenly add him to a group chat.",/9Bu1PW2R1XayqRqnl0aDOgMcrdS.jpg,movie,2026-08-13T07:26:25.638127,N-J-HR3quc4,Official Trailer,Trailer,https://www.youtube.com/watch?v=N-J-HR3quc4
1327819,Hoppers,Hoppers,61.6587,8.183,2156,2026-03-04,"[12, 16, 35, 10751, 878]","Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,movie,2026-08-13T07:26:25.638131,PypDSyIRRSs,Official Trailer,Trailer,https://www.youtube.com/watch?v=PypDSyIRRSs
1728113,KATSEYE: WILD HEARTS,KATSEYE: WILD HEARTS,8.1512,0.0,0,2026-08-12,"[99, 10402]","A captivating journey into KATSEYE's bold new era while celebrating the fans who helped make it possible. Featuring never-before-seen footage, EYEKONS fan videos, and intimate interviews from the group members, explore the powerful bond between KATSEYE and their global fandom. A love letter to the EYEKONS who helped build this movement, see why this group's story is only just beginning.",/2iMiErHxi3prW3J2ZjFiChfhptt.jpg,movie,2026-08-13T07:26:25.638134,md5rZb2nEaM,KATSEYE: WILD HEARTS Official Trailer,Trailer,https://www.youtube.com/watch?v=md5rZb2nEaM
1669841,Bleach: Thousand-Year Blood War - The Calamity,Bleach: Thousand-Year Blood War - The Calamity,5.6002,7.3,9,2026-06-25,"[28, 12, 16]","The Soul Reapers and Quincies clash in a final battle as Yhwach breaches the Royal Palace. When the Soul King falls, reality begins collapsing. Former enemies unite to storm the transformed palace and face a threat to all existence. A theatrical screening of the first three episodes of the anime featuring an exclusive behind‑the‑scenes conversation with creator Tite Kubo, chief series director Tomohisa Taguchi, and series director Hikaru Murata about the production.",/tEaeXZZO7SEcDr6yRP31UrrxcX0.jpg,movie,2026-08-13T07:26:25.638138,DKKZ10FsSBM,Official Trailer | BLEACH: Thousand-Year Blood War – The Calamity in Theatres June 25 | VIZ,Trailer,https://www.youtube.com/watch?v=DKKZ10FsSBM
1318621,Descendants: Wicked Wonderland,Descendants: Wicked Wonderland,42.017,7.517,147,2026-07-16,"[10770, 10751, 14, 12]","Now that the Queen of Hearts is nice and Cinderella is safe, things seem perfect for Red and Chloe… But little do they know that changing the past created a new villain — Maddox Hatter. When Maddox captures the Queen of Hearts, Red and Chloe must work alongside Red’s new sister Pink, Luisa Madrigal’s son Luis, and Maddox’s son Max to save her and Wonderland.",/xdhLAADGSse8KCrsDLBuM5b68Cg.jpg,movie,2026-08-13T07:26:25.638142,0Gg7x3xBqBU,Official Trailer!,Trailer,https://www.youtube.com/watch?v=0Gg7x3xBqBU
1404304,The Isolate Thief,The Isolate Thief,98.9018,7.4,15,2026-07-10,"[37, 28, 18]",A young woman struggles to conceal the gold she stole from a group of violent outlaws who have seized control of her remote outpost.,/gmmCh2BvTKp0YGT2FYG0eOQJELi.jpg,movie,2026-08-13T07:26:25.638145,3eVoGaI8mpo,Official Trailer,Trailer,https://www.youtube.com/watch?v=3eVoGaI8mpo
1493400,Camp Rock 3,Camp Rock 3,7.074,10.0,2,2026-08-13,"[10402, 35, 18, 10770]","When Connect 3 loses their opening act for a major reunion tour, they return to their beloved Camp Rock to discover the next big thing. As campers vie for the chance to open for their favorite band, tensions rise and friendships are tested - leading to unexpected alliances, revelations, and romances.",/8wI9KByZtzBMWOzDFjxHPSOAuOH.jpg,movie,2026-08-13T07:26:25.638149,02-RDIZ5Rdw,Trailer,Trailer,https://www.youtube.com/watch?v=02-RDIZ5Rdw
