tmdb_id,title,original_title,popularity,vote_average,vote_count,release_date,genre_ids,overview,poster_path,media_type,fetched_at
680493,Return to Silent Hill,Return to Silent Hill,34.3634,5.346,527,2026-01-21,"[9648, 18, 27]","When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",/mdw7bSnE11WpwWf3ViXtnavuqiT.jpg,movie,2026-05-19T22:48:43.104092
1380279,The Plastic Men,The Plastic Men,2.5359,7.556,9,2026-05-07,"[10752, 18, 27]","Vietnam veteran Jonathan Teller suffers from guilt and paranoid delusions. He decides to take his own life, but as he struggles to come to terms with his choice and reality, a chance encounter changes everything.",/4Fj40Qh6sLbyQvaf4g4QLPbte4M.jpg,movie,2026-05-19T22:48:43.104099
1656061,Immortal Combat,Immortal Combat,9.7146,6.1,7,2026-04-24,"[28, 12, 878]","History's greatest warriors, including Genghis Khan and Joan of Arc, are summoned by a shadowy organization to fight in a battle to the death. But unknown to their captors, the fighters have been plotting to turn the tables and dismantle the deadly enterprise from within.",/mhRAgvQ04DTE4zQN3OSyc9Lonj3.jpg,movie,2026-05-19T22:48:43.104104
696393,Cold Storage,Cold Storage,18.1798,6.803,442,2026-01-22,"[27, 878, 35]","When a mutating, highly contagious fungus escapes a sealed facility, two employees – joined by a grizzled bioterror operative – must survive the wildest night shift ever to save humanity from extinction.",/3HA2iiq982e01EKXJvPFyfMADVM.jpg,movie,2026-05-19T22:48:43.104110
1455079,"You, Me & Tuscany","You, Me & Tuscany",19.6421,6.714,42,2026-04-09,"[10749, 35]","When a woman crashes at an empty Italian villa, posing as the owner's fiancée, she discovers an unexpected romance that could transform her life.",/mJS0IF7Af3WpPRhSTDT6rGpiLzw.jpg,movie,2026-05-19T22:48:43.104116
1084242,Zootopia 2,Zootopia 2,89.6629,7.638,2773,2025-11-26,"[12, 16, 35, 10751, 9648]","After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,movie,2026-05-19T22:48:43.104122
1669050,Tayuan 2,Tayuan 2,150.0482,4.667,6,2026-04-17,[18],"A charming bus conductor drawn to both men and women who feels an unexpected spark with a shy commuter. On crowded bus rides where bodies brush, desire grows and love becomes messy.",/gkHNa8q3RNhgj2EMuoYWJUHsMa6.jpg,movie,2026-05-19T22:48:43.104127
1159831,The Bride!,The Bride!,24.7725,6.217,428,2026-03-04,"[878, 27, 14]",A lonely Frankenstein travels to 1930s Chicago to ask groundbreaking scientist Dr. Euphronious to create a companion for him. The two revive a murdered young woman and The Bride is born. But what ensues is beyond what either of them imagined.,/lV8YHwGkYZsm6EfIqnhaSz2avKt.jpg,movie,2026-05-19T22:48:43.104153
1088548,Bitter Christmas,Amarga Navidad,4.9433,7.2,16,2026-03-20,"[18, 35]","After her mother dies in December, advertising director Elsa immerses herself in work to cope. When a panic attack forces her to take a break, she decides to travel to Lanzarote with her friend Patricia. The story of these women run parallel to that of a screenwriter and film director, exploring how life and fiction are inseparably linked, sometimes painfully so.",/kiPGcHX0YT49nrab76G0bqw3gHW.jpg,movie,2026-05-19T22:48:43.104162
1108427,Moana,Moana,5.8761,0.0,0,2026-07-08,"[10751, 14, 35, 12]","Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with the infamous demigod Maui on an unforgettable journey to restore prosperity to her people.",/zKVgiv5qHCvCLT4A2ymJi5QeXDH.jpg,movie,2026-05-19T22:48:43.104171
840464,Greenland 2: Migration,Greenland 2: Migration,68.6646,6.414,1064,2026-01-07,"[12, 53, 878]","Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,movie,2026-05-19T22:48:43.104180
1440050,The Breadwinner,The Breadwinner,2.9605,0.0,0,2026-05-28,"[35, 10751]",After his wife Katie lands a once-in-a-lifetime deal on Shark Tank that takes her on a prolonged business trip - lifelong breadwinner Nate Wilcox now has to fend for his family as a first-time stay-at-home dad.,/4apG9Xk6HQvV48JKEjSUeiebju7.jpg,movie,2026-05-19T22:48:43.104191
1316092,"""Wuthering Heights""","""Wuthering Heights""",39.4032,6.634,980,2026-02-11,"[10749, 18]","Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.",/3YBce6dTh1D5oCMITXk2S5QhPt.jpg,movie,2026-05-19T22:48:43.104200
1280738,The Furious,火遮眼,27.7281,0.0,0,2026-06-05,"[28, 80, 53]","After Wang Wei's daughter is kidnapped by a criminal network and he receives no help from the corrupt police, Wei sets out to find her himself. His only ally is Navin, a relentless journalist whose wife has mysteriously disappeared. Fueled by a furious vengeance, the unlikely duo ruthlessly battle the kidnappers in this explosive martial arts showdown.",/zP19YO60jwEsfKd5Qf1UvA5uJu8.jpg,movie,2026-05-19T22:48:43.104210
1630423,My Dearest Assassin,เลือดรัก นักฆ่า,166.1321,8.614,180,2026-05-06,"[28, 18, 10749]","Hunted for her rare blood type, a caged woman vows to fight alongside the assassin she loves to protect their future when an old enemy resurfaces.",/ul4dQcA68mtSx8J56N5gEcaCCtP.jpg,movie,2026-05-19T22:48:43.954592
1671548,Dear You,给阿嬷的情书,43.4451,9.1,15,2026-04-30,"[18, 10751]","Grandma Ye Shurou from Chaoshan lived a simple life, enjoying her twilight years. Her grandson, Xiaowei, burdened by debt, secretly traveled to Thailand to find his rumored billionaire grandfather, Zheng Musheng. However, Xiaowei returned with shocking news: his grandfather was long gone, and the person with whom Grandma had exchanged love letters was a complete stranger. As Xiaowei investigated, a love affair hidden for half a century suddenly surfaced, striking Grandma's heart.",/s0sC3hPPX4OobLNfdl2iSs2vtvI.jpg,movie,2026-05-19T22:48:43.954620
1380291,Tom Clancy's Jack Ryan: Ghost War,Tom Clancy's Jack Ryan: Ghost War,10.6819,8.5,2,2026-05-20,"[28, 53, 18]","When an international covert mission unravels a deadly conspiracy, Ryan is forced back into the world of espionage to confront a rogue black-ops unit.",/vjUWJXdd275UYJDzblaNPZp9319.jpg,movie,2026-05-19T22:48:43.954629
1315772,Minions & Monsters,Minions & Monsters,8.3915,0.0,0,2026-06-24,"[12, 16, 35, 10751, 14]","This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.",/nz7i42yhLIJ4ve9JKgM6NthoLHO.jpg,movie,2026-05-19T22:48:43.954636
1290417,Thrash,Thrash,25.1605,6.009,565,2026-04-10,"[27, 53]","When a Category 5 hurricane decimates a coastal town, the storm surge brings devastation, chaos, and something far more frightening onto shore: hungry sharks.",/adk8weka3O5648g3de4z3y4aE7G.jpg,movie,2026-05-19T22:48:43.954642
1272837,28 Years Later: The Bone Temple,28 Years Later: The Bone Temple,39.1028,7.122,1188,2026-01-14,"[27, 53, 878]",Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,/kK1BGkG3KAvWB0WMV1DfOx9yTMZ.jpg,movie,2026-05-19T22:48:43.954650
1290821,Shelter,Shelter,86.772,7.478,950,2026-01-28,"[28, 80, 53]","A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,movie,2026-05-19T22:48:43.954656
