tmdb_id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,fetched_at
1401281,The Testament of Ann Lee,2025-12-25,5.5953,6.496,126,"[36, 18, 10402]","The extraordinary true legend of Ann Lee, founder of the devotional sect known as the Shakers, who preached gender and social equality and was revered by her followers as the female Christ.",2026-05-21T22:17:57.751270
1284460,Alpha,2025-08-20,5.4598,6.4,114,"[27, 18, 878]","Alpha, a troubled 13-year-old lives with her single mom. Their world collapses the day she returns from school with a tattoo on her arm.",2026-05-21T22:17:57.751277
1309083,Dolly,2026-03-06,5.4548,6.298,47,[27],"Young Macy is abducted by a deranged, monstrous figure who wants to raise her as its child.",2026-05-21T22:17:57.751283
1318413,Pressure,2026-05-28,5.4444,0.0,0,"[53, 36, 10752]","In the tense 72 hours before D-Day, and the fate of the free world hanging in the balance, General Dwight D. Eisenhower and Captain James Stagg face an impossible choice—launch the largest and most dangerous seaborne invasion in history or risk losing the war altogether.",2026-05-21T22:17:57.751290
1107216,Pets on a Train,2025-07-02,5.4132,7.0,51,"[16, 35, 12, 53]","When a train unexpectedly starts up, taking only pets with it, the animals discover that Hans, a badger with a grudge is behind it all. While the crash seems inevitable, the animals can count on Falcon, a roguish Raccoon who will do anything to save them.",2026-05-21T22:17:57.751297
1145899,Marsupilami,2026-02-04,5.4019,6.613,71,"[12, 35]","David is tasked to deliver a mysterious package from South America, only to find out he is carrying a baby Marsupilami!",2026-05-21T22:17:57.751307
55,Amores Perros,2000-06-16,5.3793,7.639,2917,"[18, 53]","A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man.",2026-05-21T22:17:57.751317
1285965,Dangerous Animals,2025-06-05,5.3702,6.458,560,"[27, 53]","A savvy and free-spirited surfer is abducted by a shark-obsessed serial killer. Held captive on his boat, she must figure out how to escape before he carries out a ritualistic feeding to the sharks below.",2026-05-21T22:17:57.751327
1088548,Bitter Christmas,2026-03-20,5.3173,6.979,24,"[18, 35]","After her mother dies in December, advertising director Elsa immerses herself in work to cope. When a panic attack forces her to take a break, she decides to travel to Lanzarote with her friend Patricia. The story of these women run parallel to that of a screenwriter and film director, exploring how life and fiction are inseparably linked, sometimes painfully so.",2026-05-21T22:17:57.751336
1480382,The Voice of Hind Rajab,2025-09-10,5.1795,8.1,290,"[18, 36]","January 29, 2024. Red Crescent volunteers receive an emergency call. A five-year old girl is trapped in a car under fire in Gaza, pleading for rescue. While trying to keep her on the line, they do everything they can to get an ambulance to her. Her name was Hind Rajab.",2026-05-21T22:17:57.751346
1242265,Fuze,2026-03-23,5.133,6.375,32,"[28, 80, 18, 53]",An unexploded WWII bomb is discovered on a busy construction site in the centre of London. Chaos ensues as the military and police begin a mass evacuation against a ticking clock.,2026-05-21T22:17:57.751359
1422562,The Moment,2026-01-30,5.0907,6.3,53,"[10402, 35, 53]","A rising pop sensation navigates fame and industry pressures while preparing for her arena tour debut, revealing the transformation of underground culture into mainstream success.",2026-05-21T22:17:57.751370
1220566,Eagles of the Republic,2025-09-19,5.0565,6.788,40,"[53, 18]","George Fahmy, Egypt's most adored actor, is pressured to star in a film commissioned by the highest authorities. He reluctantly accepts and finds himself thrown into the inner circle of power. Like moth drawn to flame, he begins an affair with the mysterious wife of the general overseeing the project.",2026-05-21T22:17:57.751379
1263012,Dead Man's Wire,2026-01-09,4.7031,6.504,128,"[80, 18, 53]","In 1977, former real estate developer Tony Kiritsis puts a dead man's switch on himself and the mortgage banker who did him wrong, demanding $5 million and a personal apology.",2026-05-21T22:17:58.652853
1541560,Stop! That! Train!,2026-06-12,4.6843,0.0,0,"[28, 35, 10402]","Best friends Tess and DeeDee, train stewardesses, trade their dreary shifts on the Stank Rail for the glitzy Glamazonian Express. When a catastrophic “Stormaganza” threatens to derail the high-speed train and crash it into Los Angeles, the duo in coach must join forces with the snobby first-class attendants and President Gagwell to save the day.",2026-05-21T22:17:58.652888
1307373,Wasteman,2026-02-20,4.6201,7.197,38,"[80, 18, 53]","Taylor's hopes for a fresh start post-parole are jeopardised by cellmate Dee's arrival. As Dee takes Taylor under his wing, a vicious attack tests their bond, forcing Taylor to choose between protecting Dee and his own chances at freedom.",2026-05-21T22:17:58.652898
682012,Little Amélie or the Character of Rain,2025-06-25,4.5877,7.942,171,"[16, 18, 10751]","The world is a perplexing, peaceful mystery to Amélie until a miraculous encounter with chocolate ignites her wild sense of curiosity. As she develops a deep attachment to her family's housekeeper, Nishio-san, Amélie discovers the wonders of nature as well as the emotional truths hidden beneath the surface of her family's idyllic life as foreigners in post-war Japan.",2026-05-21T22:17:58.652905
